epoch,train_loss,val_loss,rollout_train_loss,rollout_val_loss,selection_loss
1,0.13044762142210678,0.10978006420374947,0.08622830069574998,0.11770132978884722,0.13332033016151892
2,0.08895124415436335,0.10823837851982615,0.08406339203715622,0.1138971943578535,0.13101781739139684
3,0.08305272537547653,0.10744302570395299,0.08331521083971744,0.11371243300069202,0.1301855123040914
4,0.08287252391860041,0.10691329373348062,0.08292520101757017,0.11234351620335536,0.1293819969741517
5,0.08272469418313493,0.10685616673413713,0.08259929529734915,0.11281300037334296,0.1294187668088057
6,0.08225885838313404,0.10630740854169424,0.08216565682688848,0.11135560637716009,0.12857852981712625
7,0.08232181340119674,0.10633431340732878,0.08196595631517824,0.11279578681570696,0.12889347077047017
8,0.08218225332213172,0.10610640996471161,0.08169053702061203,0.11119248237623044,0.12834490643995772
9,0.08194967532629895,0.10607381545114465,0.0815658385267231,0.1112986496447493,0.1283335453800945
10,0.08171599276350228,0.10614855481233813,0.08148837327937934,0.11114129838588407,0.12837681448951493
11,0.08176464152929123,0.10607817659288397,0.08120899886660306,0.11122060347940953,0.12832229728876587
12,0.08160434252205581,0.1060210853700156,0.08107042811433045,0.11109801989627245,0.1282406893492701
13,0.08159086362056372,0.10610574249121625,0.081090545173579,0.11099576010677796,0.12830489451257185
14,0.0814095376247897,0.1061566258143505,0.08090738597796968,0.11151366749783355,0.12845935931391722
15,0.08154649105286825,0.10625626758445883,0.08080272782065893,0.11137270378326779,0.12853080834111238
16,0.08141193252615125,0.10624203153206017,0.08065799178498975,0.11103398881956342,0.12844882929597284
17,0.08135980488543973,0.10631944407204921,0.08065149919858478,0.11129495367276868,0.12857843480660294
18,0.08133949136498762,0.10645353018662172,0.0806327002339482,0.11164599894206231,0.12878272997503418
