epoch,train_loss,val_loss
1,0.18637069252336486,0.11490284089714006
2,0.08236248891845972,0.1108865926461539
3,0.0816580657921856,0.10946381305447202
4,0.08138233092562727,0.10868097981696526
5,0.08141663947753501,0.1081664740040839
6,0.08115952034971692,0.10894057993408493
7,0.08118819700441628,0.1079335288907887
8,0.08120326604742277,0.10798945532516124
9,0.08118503276430397,0.107604222716851
10,0.08106685307171191,0.10830235910612115
11,0.08127380072211837,0.10685352041322613
12,0.08112837312213786,0.1067735137049263
13,0.08084329471633755,0.10721863954000296
14,0.08100227107983897,0.10698699655190909
15,0.08099569122573405,0.10683895046926349
16,0.08106548145331664,0.10702924117882945
17,0.08093882882978748,0.1070697431597095
18,0.08077259366478928,0.10630845035297168
19,0.08113368143998737,0.10679887171883934
20,0.0809802907202495,0.10691767720536796
21,0.0808050925190065,0.10674213668218137
22,0.0807312956357106,0.10644177543192908
23,0.08099544928484025,0.10745566316560543
24,0.08100253662959857,0.10832412501055663
25,0.08112168277123936,0.10671443394014021
26,0.08082619485005584,0.10639194997924481
