epoch,train_loss,val_loss
1,0.1810712983339591,0.11432207145516762
2,0.08266513818542261,0.11038403578983541
3,0.08166419557692026,0.10945633304560062
4,0.08136445895898058,0.10807796035520266
5,0.08125793553706068,0.10896405178431169
6,0.08113440557723388,0.10733618088110132
7,0.0809391592296148,0.10732459522571113
8,0.08087002101581715,0.10675874711094621
9,0.08085478247997026,0.10730587603156409
10,0.08097291074453165,0.10591496913576955
11,0.080756140795634,0.10637538335397938
12,0.08090635596011012,0.10642872119379423
13,0.08088439214916159,0.10615940484028759
14,0.08108567510777964,0.10619437269921
15,0.08079422419939732,0.10639120151120038
16,0.08088695901636818,0.10564657707661632
17,0.08091580071187952,0.10667053460906471
18,0.08071729444837775,0.1065901579095513
19,0.08083017600431214,0.10630353579526684
20,0.08076914832973968,0.10666246427170109
21,0.08087086229079023,0.10633971563896742
22,0.08077432828687658,0.1063664000765563
23,0.08068042090034043,0.10621982452082612
24,0.08075668082636112,0.10594395063233737
