epoch,train_loss,val_loss,rollout_train_loss,rollout_val_loss,selection_loss
1,0.23620127521168274,0.11091319692146862,0.08628932758503936,0.1181637372724842,0.13454594437596545
2,0.08203835281355595,0.10726248892543416,0.0826068130916804,0.11286805723491762,0.1298361003724177
3,0.0813656448059023,0.1058756360469325,0.08165489618653675,0.11115263844318435,0.12810616373556938
4,0.08096837780021056,0.1051119097627942,0.0810038260121396,0.10978196661300374,0.12706830308539496
5,0.08101786807415262,0.10470339153180652,0.08082403906436758,0.10879916429552018,0.12646322439091057
6,0.08121568723074703,0.10450328726934685,0.08058904578098845,0.10767753864778726,0.1260387949989043
7,0.08095689985296795,0.10436001790775007,0.08058714706268569,0.10705446450578365,0.1257709108089068
8,0.08090292894575682,0.10423957400132638,0.08053673536380727,0.10665600596887477,0.12557077519510135
9,0.08100646659511086,0.10417033605888386,0.08043519953356264,0.10652590143985392,0.12547551634685464
10,0.0808460635792547,0.10412659148153156,0.08044187401693653,0.10636786419281496,0.12540016432009454
11,0.08084045409532432,0.10411973059222782,0.08031816974635836,0.10644285906698735,0.12540830240562528
12,0.0807796183011284,0.10401507709284231,0.08032347358980044,0.10605225640490043,0.1252255283738224
13,0.08093376802068573,0.10400275677038491,0.08021891855026991,0.10602422895807188,0.12520760256199928
14,0.08077468925865186,0.10402550670301515,0.08039687127055807,0.10616758786769313,0.12525902427655378
15,0.08088419054765869,0.10396252340641401,0.08022086213160154,0.10581961318796085,0.1251264460440062
16,0.08079069600690171,0.10396833943349765,0.0801750376560732,0.10614798361447854,0.12519793615639335
17,0.08068591279991337,0.10386999171471885,0.0800957855731165,0.10567892580983175,0.1250057768766852
18,0.08046116000321449,0.1039161054917899,0.08012196775218329,0.1061173463320259,0.12513957475819507
19,0.08075844285978313,0.10388679897942711,0.08022127263933111,0.10568439467280577,0.12502367791398827
20,0.08075090503632124,0.10390963039557709,0.0801294162119162,0.10594342497897084,0.12509831539137126
