epoch,train_loss,val_loss
1,0.2430091036505873,0.22711048225089048
2,0.09261392742550538,0.17090808375808839
3,0.09027786945160098,0.16585376735125815
4,0.08981850933643419,0.1608696563775891
5,0.08974508763439722,0.1626067878507498
6,0.08973914491578813,0.1645286248137074
7,0.08977771229276908,0.16407675052442816
8,0.08967852583423506,0.15985310542125591
9,0.08966793349180217,0.16577946033549099
10,0.08971788623699392,0.161031413749924
11,0.08948628097371585,0.16040536561217297
12,0.08961434578875664,0.15989844542044834
13,0.08944108550366955,0.16085362234827127
