epoch,train_loss,val_loss
1,0.25072521089933797,0.24844288473466397
2,0.09298732948294149,0.1804177612674066
3,0.09021625788165691,0.17040812034213082
4,0.08975552191577948,0.16386309024491008
5,0.089764476458216,0.16449152548587864
6,0.0897780455478761,0.16329729139176782
7,0.08942767674327394,0.16413962934736004
8,0.08965435295050127,0.16325470874051834
9,0.08971152510427219,0.16232921090926708
10,0.08966264152314055,0.16085452875116096
11,0.0894854465125674,0.16123957582512005
12,0.08957272265341523,0.1630922376825889
13,0.0894974699363823,0.16257866003495508
14,0.08944902666747696,0.16265991884255232
15,0.08980359720247395,0.16199555761610707
